id;annee;hour;country; city;lat;Long;compagnie;lat_depart;lon_depart;lat_arrivee;lon_arrivee;plane_model;passagers;dead;story
1;01/01/1997;13;Thaïlande;Ranong;9.96194;98.63889;Singapore Airlines;7.8900276;98.3981787;9.96194;98.63889;Learjet 31;2;2;On a training flight the instructor misread the Ranong DME and causing the trainee pilot to descend below minimum altitude in poor weather conditions. The aircraft flew into high terrain.
2;01/01/1998;11;Birmanie;Rangoun;16.8;96.15;Myanmar Airways;18.466667;94.366667;20.1459333;92.87632;Fokker F-27 Friendship 600;45;16;The aircraft crashed on takeoff after the No. 2 engine failed and caused the aircraft to swerve off the runway and crash into an embankment and burst into flames.
3;01/01/1989;7;Birmanie;Rangoun;16.8;96.15;Burma Airways;16.8;96.15;21.291667;99.608333;Fokker F-27 Friendship 600;29;26;The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.
4;01/01/1980;6;Birmanie;Mandalay;21.895303;96.096238;Military;21.8953025;96.0962376;16.8;96.15;Fairchild FH-227H;44;43;Crashed into a building while attempting an emergency landing following the loss of one engine.
5;01/01/1991;1;Inde;Imphāl;24.802154;93.938618;Indian Airlines;22.5655734;88.3702152;24.8021535;93.938618;Boeing B-737-2A8;69;69;Crashed into high ground during approach to Imphal. The crew failed to follow the correct approach course.
6;01/01/1999;14;Birmanie;Sittwe;20.145933;92.87632;Myanmar Airways;16.8;96.15;20.1459333;92.87632;Fokker F-27 Friendship 600;8;8;The aircraft, carrying freight, flew into the side of a fog covered ridge, 8 km E of Sittwe, while on approach to Sittwe.
7;01/01/1998;5;Russie;Krasnoïarsk;56.01005;92.8526;Sakha Airlines;56.01005;92.8526;62.55;113.966667;Antonov AN-12;13;13;The aircraft, carrying freight and seven passengers, crashed and burned, 25 km from Krasnoyarsk, 4 minutes after taking off in a snowstorm.
8;01/01/1995;19;Russie;Krasnoïarsk;56.01005;92.8526;Abakan Airlines;56.01005;92.8526;53.716667;91.416667;Let 410UVP;19;3;While taking off the aircraft veered to the right and clipped some trees 2,000 ft. past the runway. Overloaded and possible fuel contamination.
9;01/01/1988;8;Inde;Guwahati;26.183333;91.733333;Vayudoot;24.8294581;92.787475;26.183333;91.733333;Fokker F-27 Friendship 100;34;34;Crashed short of the runway. Controlled flight into terrain.
10;01/01/1996;11;Russie;Abakan;53.716667;91.416667;Military;53.716667;91.416667;53.016667;158.65;Ilyushin IL-76MD;23;23;The aircraft crashed shortly after takeoff. Overloaded.
11;01/01/1987;16;Guinée équatoriale;Bata;1.858825;9.768274;Military;1.858825;9.7682739;3.7529773;8.7740785;CASA 212-100;22;22;The domestiflight crashed off the island of Bioko and sending a distress message. Engine failure.
12;01/01/1988;22;Allemagne;Hanovre;52.366667;9.716667;Starair;55.7334147;9.1081782;52.366667;9.716667;Fokker F-27 Friendship 600;2;2;While landing the cargo plane pitched up for a go-around causing cargo to shift and the plane to lose control and crash.
13;01/01/1968;17;Allemagne;Hanovre;52.366667;9.716667;Northeast Airlines;42.358056;-71.063611;44.2595456;-72.5758753;Fairchild-Hiller FH227C;42;32;The aircraft crashed into Moose Mountain during an approach. Execution of a non-standard approach. Premature descent. The crew was not able to determine accurately its position because they had performed a non-standard instrument approach and there were no supplement navigational aids available for their use.
14;01/01/2006;20;Italie;Plaisance;45.047778;9.700556;Air Algerie;36.7717167;3.0517617;50.110884;8.6794922;Lockheed L-100-30 Hercules;3;3;The cargo plane crashed while en route in the vicinity of thunderstorms.
15;01/01/1995;22;Cameroun;Douala;4.054859;9.698718;Cameroon Airlines;6.366667;2.433333;4.054859;9.6987178;Boeing B-737-2K9;78;72;The plane went into a dive and crashed 6 km short of the runway into a swamp during a second attempt at landing. Loss of power in the No. 1 engine.
16;01/01/1987;17;Norvège;Skien;59.208056;9.552778;Scanex Air;52.366667;9.716667;59.208056;9.552778;Beechcraft King Air C90;10;10;Crashed on approach five miles from it's destination.
17;01/01/2004;9;Gabon;Libreville;0.3901;9.4544;Gabon Express;0.3901;9.4544;-1.6327149;13.6011411;BAe HS-748-232 Srs 2A;30;19;The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.
18;01/01/1993;23;Gabon;Libreville;0.3901;9.4544;Military;-15.416667;28.283333;0.3901;9.4544;de Havilland Canada DHC-5D Buffalo;30;30;Crashed into the sea after taking off from Libreville Airport. An engine fire led to loss of control of the aircraft. All eighteen members of the Zambian national soccer team killed.
19;01/01/1975;8;Italie;Roncello;45.6;9.45;SATENA;2.11317;-74.76918;1.613889;-75.612778;Douglas DC-3;21;21;Crashed and burned in mountains while en route. Improper flight planning by proceeding in mountainous terrain during adverse weather conditions which had reduced visibility along the route.
20;01/01/1963;13;Cameroun;Buéa;4.153737;9.243965;Air Afrique;4.054859;9.6987178;6.4511367;3.3883962;Douglas DC-6B;55;55;The aircraft flew into a mountain at 6,500 ft. Navigation error. Crew choose to fly a prohibited route at too low an altitude.
21;01/01/1966;2;Italie;Milan;45.463618;9.188116;Belgian International Air Services;50.836025;4.370705;45.4636183;9.1881156;Douglas DC-6B;4;4;The cargo plane struck trees to the right of the runway while attempting to land. Failure of the pilot to comply with the Company's minima. Subsequent belated decision to execute the missed approach procedure.
22;01/01/2001;8;Italie;Milan;45.463618;9.188116;Scandinavian Airlines (SAS) / Private;45.4636183;9.1881156;55.675757;12.5690233;MD-87 / Cessna 525A Citation II;114;114;The aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 then swerved off the runway and collided with the airport's baggage handling building, bursting into flames. The Cessna, which was about to take off for Paris, entered the active runway by mistake, after having been told by the tower to enter a different runway. One hundred four passengers and 6 crew on the MD-87 and 2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking. Caused largely by human error and poorly followed safety procedures. Communication between the aircraft and the tower had been 'in English and Italian,' as opposed to aviation standards that only English be spoken. In addition, despite the poor visibility, control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood.
